Category,Item,Source,Status,Owner,Paid by,Total Cost,Cost per person,Column 1,Column 10,Column 11,Column 13,Column 12
Tent Setup,Tent,,Complete,,Both,Done,Done,,packed & shipped,,,
Bedding & Sleep,Bedding set (even if one comes w/ RV),,Complete,Sophia,Sophia,already own,n/a,,packed & shipped,,,
Bedding & Sleep,Sleep mask & earplugs,,Complete,Sophia,Sophia,already own,,,packed & shipped,,,
Bedding & Sleep,USB/battery fan,,Complete,,Sophia,,amazon,,in back pack,,,
Shower & Hygiene,Lotion ,,Complete,,Morgan,10 travel pack,,,,,,
Shower & Hygiene,Towels,,Complete,,Sophia,,amazon,,packed & shipped,,,
Eating,Utensils (travel pack),,Complete,,Sophia,,amazon,,in back pack,,,
Eating,Plate / bowl / cup,,Complete,,Sophia,,got cup,,cup packed & shiped,,,
Shower & Hygiene,Lip balm,,Complete,,Sophia,,,,,,,
Shower & Hygiene,Face/body wipes,,Complete,,Sophia,,,,packed & shipped,,,
Shower & Hygiene,Portable mirror,,Complete,,Morgan,,,,,,,
Shower & Hygiene,Biodegradable soap,,Complete,,Sophia,,,,packed & shipped,,,
Shower & Hygiene,Body wet wipes,,Complete,,Morgan,8 large travel pack,,,,,,
Shower & Hygiene,Hand sanitizer,,Complete,,Morgan,8 travel pack,,,,,,
Water & Hydration,Refillable bottles/camelbaks,,Complete,Sophia,Sophia,already own,,,in backpack,,,
Water & Hydration,Electrolyte tablets/mixes,,Complete,,Sophia,,amazon,,packed & shipped,,,
Costumes & Clothing,Daytime outfits (fun and festive!),,Complete,,Sophia,,,,packed & shipped,,,
Costumes & Clothing,Nightwear (warmer outfits),,Complete,,Sophia,,,,packed & shipped,,,
Costumes & Clothing,Dust mask & goggles,,Complete,,Sophia,,amazon,,packed & shipped,,,
Costumes & Clothing,Hats & scarves,,Complete,,Sophia,,amazon,,packed & shipped,,,
Costumes & Clothing,Boots/shoes (including a backup pair),,Complete,,Sophia,,,,packed & shipped,,,
Costumes & Clothing,Camp (shower) sandals,,,,,,,,,,,
Costumes & Clothing,Utility belt/fanny pack,,Complete,,Sophia,,,,,,,
Costumes & Clothing,Glow items,,Complete,,Sophia,,amazon,,packed & shipped,,,
Personal Care & Meds,Allergy pills,,Complete,,Sophia,,,,packed & shipped,,,
Personal Care & Meds,Eye drops,,Complete,,Sophia,,,,packed & shipped,,,
Personal Care & Meds,Nasal spray,,Complete,,Morgan,2 big things,,,,,,
Bikes & Mobility,Bike locks,,Complete,,Sophia,,amazon,,packed & shipped,,,
Bikes & Mobility,Bike lights,,Complete,,Sophia,,amazon,,packed & shipped,,,
Bikes & Mobility,Bike decorations,,Complete,,Sophia,,amazon,,packed & shipped,,,
Playa Gear & Fun,Journal,,,,,,,,,,,
Playa Gear & Fun,Drinks tumbler (w/ lid and copy of DL on the front),,Complete,,Sophia,,amazon,,packed & shipped,,,
Documents & Essentials,Tickets,,Complete,,Sophia,,,,,,,
Documents & Essentials,ID/License & Health Insurance card,,Complete,,Sophia,,,,,,,
Documents & Essentials,Credit card/cash,,Complete,,Sophia,,,,,,,
Documents & Essentials,Event map/guide,,,,,,,,,,,
Documents & Essentials,Phone + portable charger,,Complete,Sophia,Sophia,already own,,,,,,
Personal Care & Meds,Wipes / tissues for toilet,,,,,,,,packed & shipped,,,
Personal Care & Meds,Female urination device,https://www.amazon.com/dp/B07D9V5LTM/?coliid=IIIJ4MQP5D5QK&colid=21VLK8KMLZCM8&psc=1&ref_=list_c_wl_lv_ov_lig_dp_it,Complete,,Sophia,,amazon,,in back pack,,,
Personal Care & Meds,Boric acid supositories,https://www.amazon.com/AZO-Vaginal-Suppositories-Support-Clinically/dp/B098JYL6FV/ref=sr_1_2_sspa?crid=1H2L2GT98B7VZ&dib=eyJ2IjoiMSJ9.YNNefWML3Y6jZybsDg8beTs3DTXxFcNDPvGC_ibpb0DsIOZAhtxeN1bcAg4hq79eTz9KbHeYfQpmvlzXzvorn_cBzT_feLQMLJLely58bpNMWC7BAAQw-sve4Wt02gEpi5Txe6684jFtajc8zNI8iy3nlVEh3dhavYCON6M3m6LV1qpWNob12lB7nv6S7SPSBn-S4YIBxpV6Fc6galIHEvSq6ntGSNv--PxI-Kqj5pOfmtv9eo2LPkGiZHKAFB4CXINKuQzOhySGtAj3nLhcBM3RyZN0A5qNcKzsve7ZF4s.v27i2uBtyP6xzjc86gUAy7cBMv7SI9YLW5MBb71Ylps&dib_tag=se&keywords=boric%2Bacid&qid=1751328689&sprefix=boric%2Bacid%2Caps%2C123&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Complete,,Sophia,,own,,packed & shipped,,,
OUTFITS,,,At all times MUST HAVE:,,,,,,,,,
head scarf,x2,,goggles,,yes,,,,,,,
fun hat,boonie hat,,dust mask,,yes,,Sophia,Set Aside,,,,
backpack,yes,,water,,,,Bedding ,Twin set + Pillow,,,,
hiking boots,yes,,snakcs,,,,Air mattress ,Check if works,,,,
sandals for camp,yes,,flashlight,,headlight,,Lip balm,,,,,
platform boots,,,toilet paper,,,,,,,,,
yoga workout set,,,cup w id,,,,,,,,,
sweatpants,yes,,sunscreen,,yes,,,,,,,
long t shirt,,,lip balm,,yes,,,,,,,
t shirt,,,first aud,,yes,,,,,,,
thick socks,yes,,thermal top,,,,,,,,,
bikini,yes,,,,,,,,,,,
,,,hand sanitizer,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SUNDAY ARRIVAL,Monday,,TUTU Tuesday,,White Wednesday,Thursday,Friday,Saturday,Sunday BURN,Monday Tear Down,Tuesday ,Go Home Wed
Airport fit,brasil jersey / cool girl,,cherry set,,white bathing suit,any bikini,orange/red outfit,,,SEALED Outfit,,
,jersey shorts,,tutu,,cover up,black cover up,,,,strike / bus home,,
,white books,,white boots,,white boots,black boots,,,,,,
,,,,,,,,,,,,
Bringing:,,,,,,,,,,,,
2 kimonos,sparkly micro shorts,,three long sleeve mesh dresses,,,,,,,,,
4 thermal tops,black boots,,three fishnet catsuits,,,,,,,,,
4 thermal leggings,black leather one piece,,white leg wraps,,,,,,,,,
roll up puffer?,black fishnets,,black leg wraps,,,,,,,,,
gloves,nude sparkly fishnets,,,,,,,,,,,
hand warmers,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Have,,,,Sophia,Morgan,Jess,Marc,,,,
Emergency C,12,,Emergency C,,9,8,9,8,,,,
Advil + General Ibuprofen,34,,Advil + General Ibuprofen,,14,14,13,12,,,,
Tylenol,15,,Tylenol,,7,7,7,6,,,,
Excedrin,7,,Excedrin,,7,4,4,5,,,,
Bendryl,15,,Bendryl,,7,8,9,8,,,,
Zyrtec,1,,Zyrtec,,2,2,3,2,,,,
Allergy Plus,3,,Allergy Plus,,1,2,2,2,,,,
Eyedrops,18,,Eyedrops,,,,,,,,,
Lens wipe,27,,Lens wipe,,,,,,,,,
Alocohol wipes,40,,Alocohol wipes,,,,,,,,,
Bandaids,30,,Bandaids,,,,,,,,,
Neosporin,11,,Neosporin,,,,,,,,,
Shout wipes,3,,Shout wipes,,,,,,,,,