Category,Item,Status,Owner,Add'l Owner,Paid by,Total Cost,Cost per person,Notes
Camp/Shelter/Car,Solar Power + Battery,Complete,Marc,,,$65.00,$16.25,MM - bringing Extension cord for main line hook up at Camp
Camp/Shelter/Car,LED lights,Complete,Marc,,,$32.00,$8.00,"[MM]Selected, awaiting destination for delivery"
Camp/Shelter/Car,Large (whatever can fit) mirror (to share),Complete,Morgan,,,,$0.00,grabbed 2 handing ones
Camp/Shelter/Car,Carpets for Tent Interior,Complete,On Our Own,,,,,
Camp/Shelter/Car,Clothing rack,Complete,On Our Own,,,,$0.00,[MB] will source one to put in our shipping items > to hang clothes
Camp/Shelter/Car,"Painter Shoe Covers (when you need to run into the
tent with shoes on)",Complete,Sophia,,,,$0.00,
Food & Cooking,Trash bags + Ziplocs,Complete,Jess,,,,$0.00,
Food & Cooking,Coffee,Complete,Morgan,,,,$0.00,Camp has coffee makers
MOOP & Leave No Trace,Vinegar spray,,On Our Own,,,,$0.00,
MOOP & Leave No Trace,MOOP bags,Complete,Sophia,,,,$0.00,
Personal Care & Meds,Sunscreen,Complete,Morgan,,,,$0.00,
Personal Care & Meds,Aloe vera/burn cream,Complete,Morgan,,,,$0.00,
Personal Care & Meds,Antibiotic ointment (playa foot),Complete,Morgan,,,,$0.00,
Personal Care & Meds,Aaline nasal spray for dust,Complete,Morgan,,,,$0.00,
Personal Care & Meds,recovery vitamins supply,Complete,Morgan,,,,$0.00,
Personal Care & Meds,First aid kit,Complete,Sophia,,,,$0.00,
Playa Gear & Fun,Name / contact info laminated tags or stickers,Complete,On Our Own,,,,$0.00,
Playa Gear & Fun,Burn journals,Complete,Jess,,,,$0.00,
Playa Gear & Fun,Speaker/music setup,Complete,Marc,Sophia,Free,$0.00,$0.00,"[SM] I have a big speaker and small speaker I can bring, [mm]We have a small one as well, lets bring a couple."
Playa Gear & Fun,Handmade animal hats,Complete,Marc,,,,$0.00,"in process, have all elements"
Playa Gear & Fun,Camera,,,Sophia,,,$0.00,"[SM] I have a polaroid, thinking disposables would be perfect for this  
[MB] I have a professional tbd if I want to bring"
Playa Gear & Fun,parasol umbrellas,,Morgan,,,,$0.00,pack of 12 - 8 can be playa gifts
Playa Gear & Fun,boonie hats,Complete,Sophia,,,,$0.00,
Playa Gear & Fun,pack of face gems,Complete,Morgan,,,,$0.00,can share
Playa Gear & Fun,pack of many nipple pasties,Complete,Morgan,,,,$0.00,can share
Shower & Hygiene,Toilet paper (1 PLY!!),Complete,Jess,,,,$0.00,